X,  Y
1.2938e-09, 6.6589e-09
1.2938e-09, -1.43487e-08
8.34005e-08, 4.29243e-07
8.34005e-08, -9.2494e-07
5.47749e-07, 2.81914e-06
5.47749e-07, -6.07472e-06
1.52078e-06, 7.8271e-06
1.52078e-06, -1.6866e-05
1.60676e-06, 8.26961e-06
1.60676e-06, -1.78195e-05
1.62956e-06, 8.38695e-06
1.62956e-06, -1.80723e-05
4.32848e-06, 2.22775e-05
4.32848e-06, -4.80038e-05
4.54353e-06, 2.33843e-05
4.54353e-06, -5.03887e-05
4.71771e-06, 2.42808e-05
4.71771e-06, -5.23203e-05
5.68704e-06, 2.92695e-05
5.68704e-06, -6.307e-05
8.63563e-06, 4.44443e-05
8.63563e-06, -9.57675e-05
9.27085e-06, 4.77134e-05
9.27085e-06, -0.000102811
1.15987e-05, 5.96928e-05
1.15987e-05, -0.000128622
1.23415e-05, 6.35154e-05
1.23415e-05, -0.000136859
1.35354e-05, 6.96589e-05
1.35354e-05, -0.000150095
1.40714e-05, 7.24171e-05
1.40714e-05, -0.000156037
1.46436e-05, 7.53615e-05
1.46436e-05, -0.000162381
1.51138e-05, 7.77806e-05
1.51138e-05, -0.000167593
1.51835e-05, 7.81396e-05
1.51835e-05, -0.000168366
1.5373e-05, 7.91146e-05
1.5373e-05, -0.000170467
1.54092e-05, 7.93005e-05
1.54092e-05, -0.000170867
1.59142e-05, 8.1899e-05
1.59142e-05, -0.000176465
1.62892e-05, 8.38286e-05
1.62892e-05, -0.000180623
1.69291e-05, 8.71208e-05
1.69291e-05, -0.000187715
1.73432e-05, 8.92515e-05
1.73432e-05, -0.000192305
1.80751e-05, 9.30171e-05
1.80751e-05, -0.000200417
1.9993e-05, 0.000102884
1.9993e-05, -0.000221674
2.02006e-05, 0.000103952
2.02006e-05, -0.000223974
2.0656e-05, 0.000106295
2.0656e-05, -0.000229021
2.06698e-05, 0.000106366
2.06698e-05, -0.000229173
2.39915e-05, 0.000123453
2.39915e-05, -0.000265978
2.57168e-05, 0.000132327
2.57168e-05, -0.000285089
2.5758e-05, 0.000132538
2.5758e-05, -0.000285545
2.59047e-05, 0.000133293
2.59047e-05, -0.000287171
