X,  Y
0.00125256, 0.0106009
0.00125684, 0.0106175
0.00126318, 0.0106422
0.00127022, 0.0106697
0.00128389, 0.0107232
0.00128951, 0.0107453
0.0013052, 0.0108071
0.00132027, 0.0108667
0.00132849, 0.0108993
0.00132896, 0.0109012
0.0013295, 0.0109033
0.00134213, 0.0109536
0.00134294, 0.0109568
0.00135081, 0.0109882
0.00136187, 0.0110324
0.00138152, 0.0111112
0.0013876, 0.0111357
0.00138791, 0.0111369
0.00139091, 0.011149
0.00139796, 0.0111774
0.00140361, 0.0112002
0.0014193, 0.0112636
0.00142198, 0.0112745
0.00142928, 0.011304
0.00145476, 0.0114076
0.0014635, 0.0114431
0.00146832, 0.0114628
0.00147083, 0.011473
0.00147637, 0.0114956
0.00148034, 0.0115118
0.00149946, 0.0115899
0.00150257, 0.0116026
0.00150867, 0.0116276
0.00152761, 0.0117052
0.00153641, 0.0117413
0.00156798, 0.0118709
0.00157399, 0.0118956
0.00158911, 0.0119578
0.00159573, 0.011985
0.00162745, 0.0121154
0.00164803, 0.0122
0.00165188, 0.0122159
0.00165576, 0.0122318
0.00166642, 0.0122756
0.00170454, 0.012432
0.00172726, 0.012525
0.00172746, 0.0125259
0.00172766, 0.0125267
0.00177603, 0.012724
0.00179699, 0.012809
0.0018032, 0.0128342
0.00181134, 0.0128672
0.0018244, 0.0129199
0.00188824, 0.0131758
0.00191626, 0.0132869
0.00192212, 0.0133101
0.0019311, 0.0133454
0.00195586, 0.0134425
0.00195624, 0.0134441
0.00196722, 0.0134869
0.00198353, 0.0135502
0.0019852, 0.0135567
0.00201448, 0.0136694
0.00202215, 0.0136988
0.00202815, 0.0137217
0.0020352, 0.0137485
0.00204334, 0.0137794
0.00205356, 0.0138181
0.00205688, 0.0138307
0.00207782, 0.0139094
0.00208896, 0.0139511
0.00210901, 0.0140257
0.00211555, 0.0140499
0.0021439, 0.0141542
0.00214453, 0.0141566
0.00216805, 0.0142424
0.00218456, 0.0143022
0.00219566, 0.0143422
0.00220609, 0.0143796
0.00224468, 0.0145171
0.002247, 0.0145253
0.00228695, 0.0146656
0.00230294, 0.0147212
0.00238836, 0.0150134
0.00239061, 0.015021
0.00240556, 0.0150713
0.00241266, 0.0150951
0.00244213, 0.0151932
0.00249161, 0.0153559
0.00251089, 0.0154186
0.00252125, 0.0154521
0.0025223, 0.0154555
0.00252626, 0.0154682
0.00252983, 0.0154797
0.00256045, 0.0155779
0.00256737, 0.0156
0.00257735, 0.0156317
0.00259074, 0.0156741
0.00259124, 0.0156757
0.00260967, 0.0157337
0.00263317, 0.0158073
0.00263739, 0.0158205
0.00264277, 0.0158372
0.00266936, 0.0159195
0.00268823, 0.0159776
0.0027004, 0.0160149
0.00271181, 0.0160497
0.00273076, 0.0161072
0.00276309, 0.0162046
0.00276808, 0.0162196
0.00277281, 0.0162338
0.00278595, 0.016273
0.00278969, 0.0162841
0.00283389, 0.0164148
0.00284904, 0.0164593
0.00285591, 0.0164794
0.0028578, 0.0164849
0.00286226, 0.0164979
0.00287515, 0.0165354
0.00290842, 0.0166316
0.00293861, 0.0167181
0.00296329, 0.0167883
0.0029819, 0.016841
0.00298754, 0.0168569
0.00301169, 0.0169247
0.00301677, 0.0169389
0.00302059, 0.0169496
0.00305465, 0.0170443
0.00309065, 0.0171436
0.00309161, 0.0171462
0.00312073, 0.0172258
0.00312681, 0.0172424
0.00313856, 0.0172743
0.00315496, 0.0173187
0.00316266, 0.0173395
0.00319699, 0.0174317
0.00321176, 0.0174712
0.00323017, 0.0175202
0.00329115, 0.017681
0.00330553, 0.0177187
0.00335858, 0.0178565
0.0033825, 0.0179182
0.00344031, 0.0180661
0.00345485, 0.0181031
0.00346488, 0.0181285
0.00346698, 0.0181339
0.003469, 0.018139
0.00347013, 0.0181419
0.00351612, 0.0182578
0.00355457, 0.0183541
0.00356401, 0.0183776
0.00357611, 0.0184078
0.00366463, 0.0186266
0.00368955, 0.0186878
0.0037097, 0.0187371
0.00371068, 0.0187395
0.00371191, 0.0187425
0.0037149, 0.0187497
0.00373995, 0.0188108
0.00375874, 0.0188565
0.00377235, 0.0188896
0.00378069, 0.0189098
0.0037846, 0.0189193
0.00383981, 0.0190527
0.00384893, 0.0190746
0.00387958, 0.0191484
0.00388071, 0.0191511
0.00396734, 0.0193585
0.00398548, 0.0194018
0.00399154, 0.0194162
0.00401028, 0.0194609
0.00402186, 0.0194885
0.0040646, 0.0195901
0.00407252, 0.0196089
0.00407916, 0.0196247
0.0041255, 0.0197346
0.00412628, 0.0197365
0.00412851, 0.0197418
0.00415691, 0.019809
0.00415729, 0.0198099
0.00416809, 0.0198354
0.00420738, 0.0199282
0.00422538, 0.0199707
0.00427605, 0.02009
0.00428623, 0.0201139
0.00429933, 0.0201447
0.00430428, 0.0201563
0.00431939, 0.0201918
0.00435063, 0.020265
0.00441247, 0.0204097
0.00444578, 0.0204874
0.00445218, 0.0205023
0.00445719, 0.020514
0.00447195, 0.0205484
0.00450842, 0.0206332
0.00455505, 0.0207415
0.00457871, 0.0207963
0.0045966, 0.0208377
0.00460663, 0.0208609
0.00461246, 0.0208744
0.00461833, 0.020888
0.00462381, 0.0209007
0.00462525, 0.020904
0.00467086, 0.0210092
0.00467389, 0.0210162
0.00467926, 0.0210286
0.00468976, 0.0210528
0.00472059, 0.0211237
0.00472235, 0.0211278
0.00473096, 0.0211476
0.00473478, 0.0211564
0.00474357, 0.0211765
0.0047517, 0.0211952
0.0047705, 0.0212384
0.00477528, 0.0212493
0.00478487, 0.0212713
0.00480984, 0.0213285
0.00483062, 0.021376
0.00483695, 0.0213905
0.00484343, 0.0214053
0.004867, 0.0214592
0.00487549, 0.0214785
0.00490314, 0.0215416
